mapped_pincode,mapped_city_db,mapped_state_db,mapped_city_tat,Latitude,Longitude
410515,Ambegaon,MH,Ambegaon,19.044804,73.956727
761116,Asika,OR,Asika,19.688794,84.70981
799120,Udaipur-TR,TR,Udaipur-TR,23.540063,91.496029
848129,Samastipur,BR,Samastipur,25.8645,85.727912
605759,Thirukoilure,TN,Thirukoilure,11.976625,79.196304
283126,Agra,UP,Agra,27.31073,78.029538
400060,Mumbai,MH,Mumbai,19.14066,72.862798
246425,Rudraprayag,UK,Rudraprayag,30.425682,79.068732
462036,Bhopal,MP,Bhopal,23.296255,77.345128
999994,Aluva,KL,Aluva,10.099222,76.354763
741203,Ranaghat,WB,Ranaghat,23.175362,88.565922
815314,Giridih,JH,Giridih,24.426178,86.165012
477555,Bhind,MP,Bhind,26.333809,78.914536
851205,Khagaria,BR,Khagaria,25.506512,86.484343
494334,Kanker,CG,Kanker,20.273675,81.491709
764059,Nabarangapur,OR,Nabarangapur,19.229304,82.546303
741163,Nazirpur,WB,Nazirpur,23.87197,88.536601
712611,Kamarpukur,WB,Kamarpukur,22.894722,87.662111
731237,Morgram,WB,Morgram,24.288513,87.969916
383307,Bayad,GJ,Bayad,23.231951,73.216486
387120,Mahemdavad,GJ,Mahemdavad,22.861237,72.704001
534324,Penugonda,AP,Penugonda,16.666548,81.784181
757032,Bangriposi,OR,Bangriposi,22.152303,86.543174
246148,Srinagar-UK,UK,Srinagar-UK,30.22294,78.789202
391170,Nasvadi,GJ,Nasvadi,22.094053,74.045377
591106,Kittur,KA,Kittur,15.564466,74.652863
410062,Kolhapur,MH,Kolhapur,16.861508,74.049921
695033,Thiruvananthapuram,KL,Thiruvananthapuram,8.506934,76.948946
623711,Muthukulathur,TN,Muthukulathur,9.318834,78.623948
274402,Kushinagar,UP,Kushinagar,26.742043,83.915231
785001,Jorhat,AS,Jorhat,26.763942,94.209781
143518,Batala,PB,Batala,31.896757,75.282187
805102,Nawada,BR,Nawada,24.781911,85.690344
476337,Sheopur,MP,Sheopur,25.681516,76.689962
481331,Waraseoni,MP,Waraseoni,21.764411,80.056974
713343,Rupnarayanpur,WB,Rupnarayanpur,23.73165,86.847101
207249,Aliganj,UP,Aliganj,27.511126,79.022821
623103,Karaikudi,TN,Karaikudi,9.253328,78.617896
225120,Haidargarh,UP,Haidargarh,26.73291,81.324072
143305,Patti,PB,Patti,31.397812,74.616722
591312,Mahalingpur,KA,Mahalingpur,16.370015,75.004283
845302,Motihari,BR,Motihari,26.852806,85.003864
505469,Karim Nagar,TS,Karim Nagar,18.397408,79.187224
609106,Sirkazhi,TN,Sirkazhi,11.188931,79.803003
415107,Rahimatpur,MH,Rahimatpur,17.588002,74.200312
144516,Nawanshahr,PB,Nawanshahr,31.10575,76.171004
788103,Pailapool,AS,Pailapool,24.79253,92.999679
689519,Kayamkulam,KL,Kayamkulam,9.178567,76.504008
431109,Gangapur-MH,MH,Gangapur-MH,19.698358,75.008277
628623,Eral,TN,Eral,8.603835,77.985296
841318,Sonepur,BR,Sonepur,25.692904,85.183261
522403,Sattenapalle,AP,Sattenapalle,16.393429,80.146206
328040,Dholpur,RJ,Dholpur,26.751019,77.806226
606104,Ulundurpet,TN,Ulundurpet,11.635053,79.279524
203135,Jewar,UP,Jewar,28.123069,77.559826
335027,PadampurRJ,RJ,PadampurRJ,29.948664,73.620471
341001,Nagaur,RJ,Nagaur,27.199384,73.746602
523357,Giddalur,AP,Giddalur,15.377496,78.925476
712221,Hooghly,WB,Hooghly,22.823449,88.342613
574233,Bantwal,KA,Bantwal,12.893725,75.016767
516115,Rajampet,AP,Rajampet,14.19585,79.161302
334006,Bikaner,RJ,Bikaner,28.064775,73.340163
262908,Nighasan,UP,Nighasan,28.235629,80.862524
680656,Thrissur,KL,Thrissur,10.554013,76.27519
333707,Jhunjhunu,RJ,Jhunjhunu,27.985312,75.332643
639007,Karur,TN,Karur,10.91953,78.093283
281202,Vrindavan,UP,Vrindavan,27.579822,77.697374
609606,Karaikal,PU,Karaikal,10.868339,79.82986
686521,Karukachal,KL,Karukachal,9.545936,76.64417
322218,Karauli,RJ,Karauli,26.300817,76.745432
627353,Tirunelveli,TN,Tirunelveli,8.73597,77.748416
577522,Challakere,KA,Challakere,14.318264,76.651029
209293,Kanpur,UP,Kanpur,26.618116,80.195516
816104,Pakur,JH,Pakur,24.704369,87.701298
711304,Howrah,WB,Howrah,22.563167,88.232702
637002,Namakkal,TN,Namakkal,11.218312,78.173533
411208,Pune,MH,Pune,18.481213,73.795392
391155,Bodeli,GJ,Bodeli,22.275561,73.714261
283152,Etah,UP,Etah,27.381055,78.608141
271006,Gonda,UP,Gonda,27.142487,81.968045
785641,Golaghat,AS,Golaghat,26.510601,93.968543
680661,Irinjalakuda,KL,Irinjalakuda,10.331031,76.215128
691005,Kollam,KL,Kollam,8.911963,76.637289
271836,Kunda,UP,Kunda,27.354386,81.791251
999962,Gorakhpur,UP,Gorakhpur,26.747736,83.361397
711105,Howrah,WB,Howrah,22.599251,88.312095
623006,Karaikudi,TN,Karaikudi,10.068766,78.766582
518002,Kurnool,AP,Kurnool,15.800665,78.052723
796161,Saitual,MZ,Saitual,23.686818,92.963642
